[QUOTE_UNIXTIME], [QUOTE_READTIME], [QUOTE_DATE], [QUOTE_TIME_HOURS], [UNDERLYING_LAST], [EXPIRE_DATE], [EXPIRE_UNIX], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_RHO], [C_IV], [C_VOLUME], [C_LAST], [C_SIZE], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_SIZE], [P_LAST], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [P_RHO], [P_IV], [P_VOLUME], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , , 1.900000, 2 x 52, 1.950000, 2.030000, 108.000000, 0.000000, 0.010000, 0 x 1841, 0.010000, -0.015560, 0.045430, 0.001870, -0.005200, 0.000000, 0.152410, , 2.000000, 0.018000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , , 0.950000, 620 x 1, 0.800000, 1.000000, 109.000000, 0.000000, 0.010000, 0 x 3150, 0.010000, -0.028040, 0.143020, 0.003280, -0.005400, 0.000000, 0.079540, , 1.000000, 0.009000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 0.345750, 4.217580, 0.017460, -0.024690, -0.000060, 0.026710, , 0.030000, 71 x 40, 0.020000, 0.030000, 110.000000, 0.040000, 0.120000, 10 x 96, 0.060000, -0.998470, 0.000000, 0.000000, -0.128700, -0.002820, 0.002400, , 0.000000, 0.000000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 0.023580, 0.098150, 0.002800, -0.005400, 0.000300, 0.098870, , 0.010000, 0 x 287, 0.000000, 0.000000, 111.000000, 0.960000, 1.120000, 554 x 454, 1.080000, -0.998680, 0.000000, 0.000000, -0.128200, -0.002660, 0.002240, , 1.000000, 0.009000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 0.014590, 0.038180, 0.002060, -0.004730, -0.000390, 0.168290, , 0.010000, 0 x 162, 0.000000, 0.000000, 112.000000, 1.960000, 2.160000, 284 x 436, 2.420000, -0.998410, 0.000000, 0.000000, -0.128190, -0.003270, 0.002390, , 2.000000, 0.018000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 0.010580, 0.021350, 0.002050, -0.004890, 0.000430, 0.234020, 45.000000, 0.010000, 0 x 79, 0.000000, 0.010000, 113.000000, 3.000000, 3.200000, 2 x 63, 3.980000, -1.000000, 0.000000, -40.100280, 0.000000, 0.000000, 0.002340, 0.000000, 3.000000, 0.027000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 0.008370, 0.013950, 0.001150, -0.004670, 0.000340, 0.297210, 42.000000, 0.010000, 0 x 110, 0.000000, 0.000000, 114.000000, 3.950000, 4.200000, 542 x 710, 4.890000, -1.000000, 0.000000, -50.100040, 0.000000, 0.000000, 0.001480, 12.000000, 4.000000, 0.036000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 0.007230, 0.010000, 0.000910, -0.004850, 0.000090, 0.357860, 4.000000, 0.010000, 0 x 402, 0.000000, 0.010000, 115.000000, 4.940000, 5.200000, 326 x 443, 5.150000, -1.000000, 0.000000, -60.099720, 0.000000, 0.000000, 0.002010, 36.000000, 5.000000, 0.046000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 0.006430, 0.007550, 0.001110, -0.004510, -0.000360, 0.416120, , 0.000000, 0 x 442, 0.000000, 0.010000, 116.000000, 5.950000, 6.110000, 59 x 38, 6.950000, -0.999100, 0.000000, 0.000000, -0.128100, -0.003190, 0.001650, 1.000000, 6.000000, 0.055000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 0.005610, 0.005960, 0.001400, -0.005050, -0.000030, 0.473650, , 0.000000, 0 x 493, 0.000000, 0.010000, 117.000000, 6.950000, 7.150000, 35 x 32, 0.000000, -1.000000, 0.000000, -80.100110, 0.000000, 0.000000, 0.001600, , 7.000000, 0.064000
